,평점,일시,감상평
155,8,2017.03.17 17:50,"나도 공대생이지만, 이런 요물을 공대생들이?"
156,10,2017.03.17 00:05,버터땅 우주대남신ㅜ 그냥 닥찬ㅜ 너무 어려보여서 여주가 상대적으로 더 늙어보이는거 말곤 시간 가는줄 모르고 봄
157,10,2019.01.30 06:00,"화성 외톨이와 지구 외톨이가 만나  세상을 사랑하게 되는 이야기.. 자신이 있는 곳을, 자신이 있을 곳을 사랑하게 되는 이야기.. 너무 아름다웠어요"
158,6,2018.09.10 03:21,천문학적인 금액을 투자한 우주사업이 어떤 욕심많은 임산부에 의해 폭망하는 영화
159,5,2018.06.28 23:04,"아니 무슨 12세 관람가인데 키스하고, 옷벗고 누워있는 장면 나오나요,, 관람기준이 어떻게 정해지는지 모르겠지만, 아빠랑 둘이서 잘보고 있다가 겁나 ,, 채널돌림... 쓸데없는 로맨스를 너무 진하게 넣은듯,,"
160,10,2018.03.11 23:28,화성인과 지구인의 로맨스
161,10,2017.11.19 03:33,너무너무 좋았다 영상미도 그렇고 내용도 맘에 든다
162,10,2017.10.11 05:14,마음이 따뜻해지는 좋은 공상과학영화이다.
163,7,2017.04.27 10:30,영화는 재밌는데 여주나이가 너무많아 ㅋㅋㅋ
164,10,2017.04.09 10:47,이영화를 볼 수 있게 되어서 너무 행복합니다
165,10,2017.04.05 09:34,남주가 진짜 쩌네요.. 연기까지.. 강동원 업글판 -_- 반면 여주는 대체 왜 이모를 캐스팅한건지.. 돈내고 출연했나? -_-
166,7,2017.03.19 12:30,최초의 화성인!! 새로운 곳에 갈수있는 용기!! 풋풋한 사랑과 감동
167,1,2019.01.13 18:26,우주영화가 아닙니다. 우주영화가 아닙니다.
168,1,2018.03.20 15:39,소년은 소년인데 소녀는 아줌마 같다
169,1,2018.03.16 01:35,아.. 소아성애자들 진짜 역겹다.. 어떻게 어린 남자한테까지 성욕의 마수를 펼칠수가있어?
170,10,2017.03.19 20:21,수빈아 사랑해 나랑 결혼해줘!
